Datum,Match-up,Bet,Fair,Bookie,Edge,Uitslag,G/F,Result,Inzet,Winst/Verlies,Notitie
05/04/26,,Pisa Draw,2.91,3,3.00,0-1,F,0,5,-5,F (0-1)
05/04/26,,Pisa Under 2.5,1.5,1.62,7.41,0-1,G,1,20,12.4,G (0-1)
05/04/26,,Volendam Win,3.3,6.5,49.23,0-0,F,0,5,-5,F (0-0)
05/04/26,,Volendam Draw,3.85,5,23.00,0-0,G,1,5,20,G (0-0)
05/04/26,,Volendam +0.5,1.78,2.75,35.27,0-0,G,X,,,G (0-0) gedekt ^
05/04/26,,Volendam +1.5,1.31,1.73,24.28,0-0,G,X,,,G (0-0) ???
05/04/26,,Volendam +2.5,1.11,1.3,14.62,0-0,G,X,,,G (0-0) X
05/04/26,,Volendam Under 2.5,2.42,2.7,10.37,0-0,G,X,,,G (0-0) ???
05/04/26,,Volendam Under 3.5,1.57,1.67,5.99,0-0,G,1,15,10.05,G (0-0)
05/04/26,,Heerenveen Win,1.17,1.4,16.43,4-1,G,1,20,8,G (4-1)
05/04/26,,Heerenveen Over 2.5,1.22,1.36,10.29,4-1,G,X,,,G (4-1) X
05/04/26,,Heerenveen Over 3.5,1.55,1.91,18.85,4-1,G,1,15,13.65,G (4-1)
05/04/26,,NAC Win,2.26,2.38,5.04,0-0,F,0,10,-10,F (0-0)
05/04/26,,NAC Over 2.5,1.79,1.85,3.24,0-0,F,0,15,-15,F (0-0)
05/04/26,,Getafe Win,2.18,3.1,29.68,2-0,G,1,10,21,G (2-0)
05/04/26,,Getafe over 1.5,1.52,1.67,8.98,2-0,G,1,15,10.05,G (2-0)
05/04/26,,Celta de Vigo Win,2.82,3.2,11.88,1-3,G,1,5,11,G (1-3)
05/04/26,,Sevilla Win,2.32,2.88,19.44,1-0,F,0,5,-5,F (1-0)
05/04/26,,Alaves Win,2.54,2.63,3.42,2-2,F,0,5,-5,F (2-2)
