Datum,Match-up,Bet,Fair,Bookie,Edge,Uitslag,G/F,Result,Inzet,Winst/Verlies,Notitie
04/09/26,VfB Stuttgart - 1. FC Köln,1X2 VfB Stuttgart,1.319,1.59,20.54,4-1,G,1,15.0,8.85,
04/09/26,VfB Stuttgart - 1. FC Köln,O/U 3.5 Under,1.806,1.92,6.33,4-1,F,0,10.0,-10.0,
04/09/26,Sparta Rotterdam - PEC Zwolle,1X2 Gelijkspel,3.468,3.89,12.16,2-2,G,1,5.0,14.45,
04/09/26,Sparta Rotterdam - PEC Zwolle,1X2 PEC Zwolle,2.659,3.77,41.79,2-2,F,0,5.0,-5.0,
04/09/26,Sparta Rotterdam - PEC Zwolle,O/U 3.5 Under,1.361,1.73,27.11,2-2,F,0,15.0,-15.0,
03/09/26,Real Sociedad de Fútbol - RC Celta de Vigo,1X2 Gelijkspel,3.123,3.76,20.38,0-0,G,1,5.0,13.8,
03/09/26,Real Sociedad de Fútbol - RC Celta de Vigo,O/U 2.5 Under,1.552,1.99,28.19,0-0,G,1,12.5,12.38,
04/09/26,Real Betis Balompié - Real Madrid CF,1X2 Real Betis Balompié,5.646,7.5,32.83,1-0,G,1,2.5,16.25,
04/09/26,Real Betis Balompié - Real Madrid CF,1X2 Gelijkspel,3.819,5.6,46.66,1-0,F,0,3.75,-3.75,
04/09/26,Real Betis Balompié - Real Madrid CF,O/U 3.5 Under,1.387,1.93,39.12,1-0,G,1,12.5,11.62,
03/09/26,Toulouse FC - Lille OSC,1X2 Lille OSC,1.347,2.04,51.48,0-1,G,1,15.0,15.6,
04/09/26,Olympique Lyonnais - AJ Auxerre,1X2 Olympique Lyonnais,1.15,1.56,35.61,3-1,G,1,20.0,11.2,
04/09/26,Olympique Lyonnais - AJ Auxerre,O/U 2.5 Over,1.279,1.74,36.04,3-1,G,1,15.0,11.1,
04/09/26,Paris Saint-Germain FC - AS Monaco FC,O/U 3.5 Over,1.782,2.15,20.63,1-2,F,0,12.5,-12.5,
04/09/26,Ipswich Town FC - Liverpool FC,1X2 Liverpool FC,1.091,1.55,42.03,0-2,G,1,20.0,11.0,
04/09/26,Ipswich Town FC - Liverpool FC,O/U 3.5 Over,1.543,2.15,39.3,0-2,F,0,10.0,-10.0,
04/09/26,Genoa CFC - Como 1907,1X2 Como 1907,1.43,1.88,31.44,1-4,G,1,15.0,13.2,
04/09/26,Genoa CFC - Como 1907,O/U 2.5 Over,2.131,2.36,10.75,1-4,G,1,7.5,10.2,
04/09/26,FC Porto - Moreirense FC,O/U 2.5 Over,1.291,1.67,29.34,2-1,G,1,15.0,10.05,
