Datum,Match-up,Bet,Fair,Bookie,Edge,Uitslag,G/F,Result,Inzet,Winst/Verlies,Notitie
04/09/26,VfB Stuttgart - 1. FC Köln,1X2 VfB Stuttgart,1.319,1.59,20.54,4-1,G,1,15.0,8.85,
04/09/26,VfB Stuttgart - 1. FC Köln,O/U 3.5 Under,1.806,1.92,6.33,4-1,F,0,10.0,-10.0,
05/09/26,SV Werder Bremen - RB Leipzig,1X2 RB Leipzig,1.484,1.82,22.67,3-1,F,0,15.0,-15.0,
05/09/26,TSG 1899 Hoffenheim - Borussia Dortmund,1X2 Borussia Dortmund,1.761,2.27,28.94,2-3,G,1,10.0,12.7,
05/09/26,Bayer 04 Leverkusen - 1. FC Union Berlin,1X2 Bayer 04 Leverkusen,1.255,1.48,17.96,4-0,G,1,15.0,7.2,
05/09/26,Bayer 04 Leverkusen - 1. FC Union Berlin,O/U 3.5 Under,1.612,1.84,14.13,4-0,F,0,10.0,-10.0,
05/09/26,FC Schalke 04 - FC Bayern München,1X2 FC Schalke 04,15.176,17,12.02,0-0,F,0,1.0,-1.0,
05/09/26,FC Schalke 04 - FC Bayern München,1X2 Gelijkspel,8.31,9.15,10.1,0-0,G,1,2.0,16.3,
06/09/26,Hamburger SV - 1. FSV Mainz 05,1X2 Hamburger SV,2.214,2.9,30.96,0-3,F,0,5.0,-5.0,
06/09/26,Hamburger SV - 1. FSV Mainz 05,1X2 Gelijkspel,3.466,3.65,5.31,0-3,F,0,5.0,-5.0,
06/09/26,Hamburger SV - 1. FSV Mainz 05,O/U 2.5 Under,1.902,2.19,15.12,0-3,F,0,7.5,-7.5,
04/09/26,Sparta Rotterdam - PEC Zwolle,1X2 Gelijkspel,3.468,3.89,12.16,2-2,G,1,5.0,14.45,
04/09/26,Sparta Rotterdam - PEC Zwolle,1X2 PEC Zwolle,2.659,3.77,41.79,2-2,F,0,5.0,-5.0,
04/09/26,Sparta Rotterdam - PEC Zwolle,O/U 3.5 Under,1.361,1.73,27.11,2-2,F,0,15.0,-15.0,
05/09/26,NEC - Feyenoord Rotterdam,1X2 Feyenoord Rotterdam,1.897,2.22,17.03,1-3,G,1,10.0,12.2,
05/09/26,NEC - Feyenoord Rotterdam,O/U 3.5 Under,1.817,1.99,9.53,1-3,F,0,12.5,-12.5,
05/09/26,FC Utrecht - Go Ahead Eagles,1X2 Go Ahead Eagles,2.673,3.45,29.05,1-3,G,1,5.0,12.25,
05/09/26,AFC Ajax - PSV,1X2 PSV,2.248,2.42,7.67,1-3,G,1,7.5,10.65,
05/09/26,Willem II Tilburg - SBV Excelsior,1X2 SBV Excelsior,1.725,2.37,37.4,0-3,G,1,7.5,10.28,
06/09/26,FC Groningen - FC Twente '65,1X2 FC Twente '65,1.893,2.07,9.38,2-2,F,0,10.0,-10.0,
06/09/26,FC Groningen - FC Twente '65,O/U 3.5 Under,1.329,1.64,23.4,2-2,F,0,15.0,-15.0,
06/09/26,SC Heerenveen - AZ,1X2 AZ,1.446,1.83,26.54,2-3,G,1,15.0,12.45,
06/09/26,SC Heerenveen - AZ,O/U 3.5 Under,1.387,1.74,25.46,2-3,F,0,15.0,-15.0,
03/09/26,Real Sociedad de Fútbol - RC Celta de Vigo,1X2 Gelijkspel,3.123,3.76,20.38,0-0,G,1,5.0,13.8,
03/09/26,Real Sociedad de Fútbol - RC Celta de Vigo,O/U 2.5 Under,1.552,1.99,28.19,0-0,G,1,12.5,12.38,
04/09/26,Real Betis Balompié - Real Madrid CF,1X2 Real Betis Balompié,5.646,7.5,32.83,1-0,G,1,2.5,16.25,
04/09/26,Real Betis Balompié - Real Madrid CF,1X2 Gelijkspel,3.819,5.6,46.66,1-0,F,0,3.75,-3.75,
04/09/26,Real Betis Balompié - Real Madrid CF,O/U 3.5 Under,1.387,1.93,39.12,1-0,G,1,12.5,11.62,
05/09/26,Athletic Club - Club Atlético de Madrid,1X2 Club Atlético de Madrid,1.735,2.43,40.06,3-0,F,0,10.0,-10.0,
05/09/26,Athletic Club - Club Atlético de Madrid,O/U 2.5 Over,1.875,1.97,5.08,3-0,G,1,10.0,9.7,
05/09/26,Rayo Vallecano de Madrid - Real Racing Club de Santander,O/U 2.5 Under,1.575,2.03,28.9,3-2,F,0,10.0,-10.0,
05/09/26,Villarreal CF - RC Deportivo La Coruña,O/U 2.5 Over,1.401,1.78,27.04,2-3,G,1,12.5,9.75,
03/09/26,Toulouse FC - Lille OSC,1X2 Lille OSC,1.347,2.04,51.48,0-1,G,1,15.0,15.6,
04/09/26,Olympique Lyonnais - AJ Auxerre,1X2 Olympique Lyonnais,1.15,1.56,35.61,3-1,G,1,20.0,11.2,
04/09/26,Olympique Lyonnais - AJ Auxerre,O/U 2.5 Over,1.279,1.74,36.04,3-1,G,1,15.0,11.1,
04/09/26,Paris Saint-Germain FC - AS Monaco FC,O/U 3.5 Over,1.782,2.15,20.63,1-2,F,0,12.5,-12.5,
05/09/26,Racing Club de Lens - FC Lorient,1X2 Racing Club de Lens,1.181,1.52,28.71,0-1,F,0,15.0,-15.0,
05/09/26,Le Havre AC - Stade Brestois 29,1X2 Stade Brestois 29,1.938,2.89,49.11,1-2,G,1,7.5,14.18,
05/09/26,OGC Nice - Le Mans FC,O/U 2.5 Under,1.828,1.98,8.31,1-1,G,1,10.0,9.8,
04/09/26,Ipswich Town FC - Liverpool FC,1X2 Liverpool FC,1.091,1.55,42.03,0-2,G,1,20.0,11.0,
04/09/26,Ipswich Town FC - Liverpool FC,O/U 3.5 Over,1.543,2.15,39.3,0-2,F,0,10.0,-10.0,
